level_2,level_5,dataset_type,ay,dev,Expr1
N06K1,ATT,CASE,2012,48,936616.6601
N06K1,ATT,CASE,2012,60,463030.27
N06K1,ATT,CASE,2013,12,11055437.32
N06K1,ATT,CASE,2013,24,6590286.25
N06K1,ATT,CASE,2013,36,3069822.34
N06K1,ATT,CASE,2013,48,1054032.28
N06K1,ATT,CASE,2014,12,11654060.25
N06K1,ATT,CASE,2014,24,5954751.2
N06K1,ATT,CASE,2014,36,2505277.47
N06K1,ATT,CASE,2015,12,11164016.55
N06K1,ATT,CASE,2015,24,6462940.57
N06K1,ATT,CASE,2016,12,7892906.26
N06K1,ATT,PAID,1995,180,55599161.64
N06K1,ATT,PAID,1995,192,55603923.37
N06K1,ATT,PAID,1995,204,55602057.31
N06K1,ATT,PAID,1995,216,54613518.13
N06K1,ATT,PAID,1995,228,54613518.13
N06K1,ATT,PAID,1995,240,54613518.13
N06K1,ATT,PAID,1995,252,54614584.99
N06K1,ATT,PAID,1995,264,54614584.99
N06K1,ATT,PAID,1996,168,38449544.39
N06K1,ATT,PAID,1996,180,38450644.71
N06K1,ATT,PAID,1996,192,38193358.94
N06K1,ATT,PAID,1996,204,38511864.81
N06K1,ATT,PAID,1996,216,38515114.85
N06K1,ATT,PAID,1996,228,38515114.85
N06K1,ATT,PAID,1996,240,38515206.24
N06K1,ATT,PAID,1996,252,38515206.24
N06K1,ATT,PAID,1997,156,28816268.01
N06K1,ATT,PAID,1997,168,28903216.1
N06K1,ATT,PAID,1997,180,28937570.6
N06K1,ATT,PAID,1997,192,28899161.13
N06K1,ATT,PAID,1997,204,28899672.72
N06K1,ATT,PAID,1997,216,28903021.52
N06K1,ATT,PAID,1997,228,28915721.38
N06K1,ATT,PAID,1997,240,28918088.94
N06K1,ATT,PAID,1998,144,42662863.14
N06K1,ATT,PAID,1998,156,42666214.65
N06K1,ATT,PAID,1998,168,42666251.64
N06K1,ATT,PAID,1998,180,42666551.64
N06K1,ATT,PAID,1998,192,42666551.64
N06K1,ATT,PAID,1998,204,42667251.64
N06K1,ATT,PAID,1998,216,42667251.64
N06K1,ATT,PAID,1998,228,42666851.64
N06K1,ATT,PAID,1999,132,72017861.12
