Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2016,3234540,1,01/01/2016,31/12/2016,8,C,48,45 <=  x < 50,20,3004,1,1,private car,CAR,047,2014,2148,6,434.72553593,14283.164384
2016,3234758,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,8,5300,1,1,private car,CAR,003,2013,1968,5,701.89853151,3341.9178082
2016,3234976,1,01/01/2016,31/12/2016,8,S,53,50 <=  x < 55,14,6430,1,51,driving school car,CAR,056,2009,1488,5,108.88638304,4024.6575342
2016,3235285,1,01/01/2016,31/12/2016,8,C,66,65 <=  x < 70,11,2130,1,6,commercial car <3500 kg,PICKUP,047,2014,2148,3,377.96470735,4779.9055786
2016,3235372,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,10,4500,1,1,private car,CAR,064,2009,1900,2,112.4886664,3514.2465753
2016,3235988,1,01/01/2016,09/08/2016,8,C,52,50 <=  x < 55,5,5050,1,1,private car,CAR,091,2014,1595,5,492.38588389,16876.712329
2016,3236046,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,9,2530,1,1,private car,CAR,047,2009,1998,2,581.54324341,9460.3561644
2016,3236340,1,01/01/2016,31/12/2016,8,C,35,35 <=  x < 40,14,2584,1,1,private car,CAR,015,2009,1868,2,47.850835964,2523.6986301
2016,3236519,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,10,8000,1,1,private car,CAR,047,2009,2151,9,336.6985527,6298.290411
2016,3236924,1,01/01/2016,08/05/2016,7,C,47,45 <=  x < 50,7,5370,1,1,private car,CAR,047,2012,2148,5,244.1676,30968
2016,3237598,1,01/01/2016,31/12/2016,8,S,49,45 <=  x < 50,9,6420,2,1,private car,CAR,015,2006,1969,2,48.894631704,384.87945205
2016,3238545,1,01/01/2016,31/12/2016,8,S,53,50 <=  x < 55,4,8365,1,51,driving school car,CAR,056,2009,1488,5,134.49247021,0
2016,3238567,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,9,3781,1,1,private car,CAR,079,2009,2446,9,170.9589036,1063.2328767
2016,3238679,1,01/01/2016,31/12/2016,8,C,45,45 <=  x < 50,18,3750,1,1,private car,CAR,083,2010,999,5,127.70369762,4407.8433436
2016,3238768,1,01/01/2016,31/12/2016,8,S,65,65 <=  x < 70,20,5300,1,1,private car,CAR,091,2009,1400,5,162.99368712,5923.2675419
2016,3238857,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,2,4701,1,1,private car,CAR,091,2009,1896,2,218.52895363,2840.3506849
2016,3240328,1,01/01/2016,03/10/2016,8,C,51,50 <=  x < 55,4,5370,1,1,private car,CAR,049,2009,2477,5,297.5946937,11299.364384
2016,3241458,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,9,1069,1,51,driving school car,CAR,056,2008,1488,5,24.459332001,4413.9452055
2016,3241864,1,01/01/2016,16/08/2016,8,C,57,55 <=  x < 60,12,2600,1,56,truck 10 to 20 tn,TRUCK,151,2009,8974,2,375.34247014,3006.4005041
2016,3242040,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,14,3220,1,51,driving school car,CAR,083,2015,1896,5,311.7324113,20794.520548
2016,3242266,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,7,7700,1,1,private car,CAR,049,2006,2477,3,146.64620461,3414.8078904
2016,3242519,1,01/01/2016,31/12/2016,8,S,34,30 <=  x < 35,14,4775,1,5,commercial car <3100 kg,PICKUP,064,2009,2499,3,106.62027836,3232.6027397
2016,3242554,1,01/01/2016,28/09/2016,8,C,51,50 <=  x < 55,10,4440,1,1,private car,CAR,047,2015,2987,5,1245.7956038,36689.930137
2016,3242558,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,17,7700,1,1,private car,CAR,056,2012,1686,2,100.0634615,3808.109589
2016,3242649,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,9,1070,1,6,commercial car <3500 kg,PICKUP,053,2009,2664,3,112.83467248,2426.1643836
2016,3242696,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,15,7150,1,1,private car,CAR,102,2009,2476,9,0.0054685758,0
2016,3243121,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,18,9700,1,1,private car,CAR,083,2009,1896,5,300.13316644,9412.8657534
2016,3243285,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,4,2825,1,1,private car,CAR,037,2013,2099,5,1050.8638,29254.5
2016,3243426,1,01/01/2016,31/12/2016,8,C,74,70 <=  x < 75,8,7000,1,123,taxi category A,CAR,024,2011,1998,5,389.64290127,11029.413699
