NrPolicy,NrObject,NrClaim,Date_of_loss,Paid,Reserves,Settlement_date
2994835,1,3277001,15/03/2012,720.8918808,0,18/03/2015
2994838,1,3870044,10/05/2016,196.2646,0,
2995956,1,3286666,17/03/2012,2665.0777686,0,23/03/2015
2996069,1,3250995,07/02/2012,3919.89234,0,25/01/2015
2997123,1,3641093,05/10/2014,696.168137,0,
2998795,1,3965971,13/12/2016,0,2430.45,
2999602,1,3323721,21/10/2012,26974.5,0,08/10/2015
2999617,1,3842373,30/01/2016,3442.4,0,
2999731,1,3883263,09/08/2016,3180.4047,42.8947,
3002665,1,3723881,01/06/2015,13986.218803,0,
3002787,1,3233974,21/04/2012,1338.45972,0,07/05/2015
3003327,1,3566227,10/08/2014,19523.14009,0,
3003810,1,3242985,19/03/2012,8167.2726759,0,03/04/2015
3005616,1,3605449,30/09/2014,1654.2584883,0,
3005771,1,3958295,26/10/2016,1303.4142,0,
3007531,1,3374645,19/03/2013,1374.55076,0,
3007908,3,3865696,11/05/2016,2309.33,0,
3008253,1,3849326,30/07/2016,1036.4872,0,
3008774,1,3548101,07/11/2013,114.2054368,0,
3010092,1,3766118,25/01/2016,1749.5624,0,
3010776,178,3251182,14/02/2012,428.0389542,0,10/02/2015
3012405,1,3322745,02/08/2012,334.5961905,0,25/07/2015
3013467,1,3876602,16/08/2016,622.9074,0,
3013991,1,3368774,03/11/2012,2128.5430335,0,19/11/2015
3017589,1,3265860,02/05/2012,7432.17033,0,28/04/2015
3019136,1,3563691,14/07/2014,2562.7436604,0,
3019154,1,3348637,28/10/2012,746.15838,0,31/10/2015
3019334,1,3935275,22/10/2016,929.7288,0,
3020253,1,3376017,04/12/2012,1790.9354232,0,09/12/2015
3022530,1,3513068,03/09/2013,1113.4629254,0,
3022960,1,3832649,08/02/2016,52.07,0,
3024061,1,3855843,12/06/2016,51.0286,0,
3024397,1,3369620,20/03/2013,3910.2326928,0,
3031420,1,3618534,07/02/2015,2154.1659692,0,
3031474,1,3894751,21/08/2016,20655.5807,2.9886,
3033268,1,3482692,11/06/2013,984.2789544,0,
3034294,1,3302629,15/10/2012,998.16596,0,01/11/2015
3034463,1,3332506,12/09/2012,39.12699,0,27/09/2015
3035306,1,3423502,06/01/2013,839.95142,0,
3035833,1,3704129,29/03/2015,50.3141996,0,
