Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2015,4201022,1,01/01/2015,31/12/2015,3,S,55,55 <=  x < 60,14,4495,1,1,private car,CAR,047,2011,3222,5,966.55263014,34865.753425
2014,4201031,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,13,9545,2,1,private car,CAR,019,2006,847,5,57.513076923,1095.890411
2015,4201178,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,6,2780,1,1,private car,CAR,064,2013,1471,2,222.67547342,12595.358022
2013,4201247,1,05/12/2013,31/12/2013,1,C,39,35 <=  x < 40,4,4625,1,1,private car,CAR,091,2013,1896,2,17.394272877,1334.2057377
2015,4201259,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,7,4410,1,5,commercial car <3100 kg,PICKUP,047,2007,2874,3,161.8239726,3507.8630137
2015,4201307,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,14,8000,1,1,private car,CAR,102,2013,1493,2,154.41367123,1093.0684932
2013,4201313,1,15/11/2013,31/12/2013,1,S,64,60 <=  x < 65,10,6420,1,70,tow-car,TRUCK,186,2008,0,1,20.121150685,2057.8551913
2013,4201408,1,11/11/2013,31/12/2013,1,C,54,50 <=  x < 55,15,9545,1,1,private car,CAR,056,2013,1248,5,26.044931507,0
2014,4201419,1,01/01/2014,31/12/2014,2,C,48,45 <=  x < 50,10,4450,1,1,private car,CAR,001,2010,1900,5,492.90700712,12235.616438
2014,4201424,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,0,4400,1,5,commercial car <3100 kg,PICKUP,056,2014,1300,2,105.8964,8922.498411
2014,4201457,1,01/01/2014,29/11/2014,2,C,55,55 <=  x < 60,7,5000,1,1,private car,CAR,024,2009,1896,7,299.92881205,11623.068493
2014,4201660,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,0,4400,1,1,private car,CAR,064,2012,1500,5,182.6686,15386
2015,4201662,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,11,2440,1,1,private car,CAR,064,2008,1870,2,70.6044,2871
2014,4201667,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,0,4400,1,1,private car,CAR,046,2013,2200,5,391.5002,34331.22
2015,4201748,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,0,4400,1,1,private car,CAR,057,2012,1400,5,0,18818.91
2014,4201756,1,01/01/2014,31/12/2014,2,S,45,45 <=  x < 50,10,2450,1,5,commercial car <3100 kg,PICKUP,023,2013,1248,2,207.66666247,10100.712329
2015,4201770,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,0,4400,1,1,private car,CAR,056,2013,1700,5,0,25689.6025
2014,4201776,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,10,4550,1,51,driving school car,CAR,064,2013,1461,5,247.06971425,16631.797288
2013,4201785,1,06/12/2013,31/12/2013,1,C,44,40 <=  x < 45,7,7400,1,1,private car,CAR,083,2013,1896,5,50.483907945,2326.5027322
2014,4201794,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,0,4400,1,1,private car,CAR,046,2012,2000,5,305.2452,25976.964384
2015,4201876,1,01/01/2015,31/12/2015,3,C,43,40 <=  x < 45,13,6360,1,128,private truck,TRUCK,049,2013,3907,3,540.33382027,32105.488438
2014,4201911,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,11,3002,1,1,private car,CAR,884,2014,698,2,60.67855863,0
2015,4201965,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,0,4400,1,5,commercial car <3100 kg,PICKUP,056,2014,1300,2,0,15372
2013,4201979,1,06/12/2013,31/12/2013,1,S,64,60 <=  x < 65,9,4910,1,1,private car,CAR,053,2013,2488,5,25.866936986,2090.847541
2014,4201999,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,0,4400,1,1,private car,CAR,064,2012,1900,5,316.8,27775
2015,4202029,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,0,4400,1,1,private car,CAR,064,2011,3000,5,245.4834,7705.29
2013,4202051,1,02/11/2013,31/12/2013,1,C,54,50 <=  x < 55,13,3810,1,1,private car,CAR,023,2013,1248,5,39.101112329,2563.9255082
2014,4202099,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,0,4400,1,1,private car,CAR,003,2013,1900,5,470.05,40803
2015,4202120,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,0,4400,1,1,private car,CAR,064,2013,1900,5,0,31360.5
2013,4202131,1,11/11/2013,31/12/2013,1,C,44,40 <=  x < 45,13,4780,1,1,private car,CAR,130,2013,2685,5,120.87978082,7416.8770492
2014,4202278,1,01/01/2014,19/12/2014,2,C,55,55 <=  x < 60,11,3810,1,1,private car,CAR,023,2014,1248,2,268.25427123,18113.773885
2015,4202422,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,0,4400,1,1,private car,CAR,064,2011,1500,5,0.0042952141,11615
2014,4202431,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,7,3002,1,1,private car,CAR,884,2013,799,2,74.255153425,8060.8241096
2013,4202462,1,24/06/2013,31/12/2013,1,C,44,40 <=  x < 45,0,7350,1,12,motorcycle,MOTORBIKE,271,2013,745,2,179.07950685,4042.6374279
2013,4202583,1,08/10/2013,31/12/2013,1,C,44,40 <=  x < 45,7,1885,4,1,private car,CAR,064,2013,1461,5,89.651648352,5448.3606557
2014,4202596,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,14,6420,1,1,private car,CAR,003,2010,1896,5,617.83915068,26743.561644
2014,4202655,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,15,1069,1,1,private car,CAR,064,2013,1461,2,175.77947836,11311.38181
